Topic,Question,Answer
Africa,Which sound is unique to many African languages including Xhosa?,"A click made in the throat"
Africa,What is the Harmattan?,A wind
Africa,The Kalahari Desert lies chiefly in which country?,Botswana
Africa,Of which country is Ouagadougou the capital?,Burkina Faso
Africa,Which Moroccan city is the name of a famous film?,Casablanca
Africa,"Which substance used to make a drink is Ghana's main export?",Cocoa
Africa,Which man-made structures would you see at Aswan and Kariba?,Dams
Africa,Which language is Afrikaans derived from?,Dutch
Africa,Famine in which country triggered the Band Aid Charity?,Ethiopia
Africa,South Africa is the world's leading exporter of what?,Gold
Africa,What is Africa's highest mountain?,Kilimanjaro
Africa,"In which African country is El Alamein scene of a World War II battle?",Libya
Africa,Which country used to be called South West Africa?,Namibia
Africa,Which country is the main economic power in West Africa?,Nigeria
Africa,Which African country is the tiger native to?,None
Africa,Does most of Africa lie to the north or to the south of the Equator?,North
Africa,What do the initials OAU stand for?,Organization of African Unity
Africa,Which European language is an official language of Angola?,Portuguese
Africa,What is the administrative capital of South Africa?,Pretoria
Africa,Which country is further north Rwanda or Burundi?,Rwanda
Africa,What covers 85% of Algeria?,Sahara Desert
Africa,What is the area of savanna in West Africa called?,Sahel
Africa,Which country occupies the Horn of Africa?,Somalia
Africa,In which country are the political parties ANC and Inkatha?,South Africa
Africa,What is the largest country in Africa?,Sudan
Africa,"Which is further west Uganda or Kenya?",Uganda
Africa,"Which lake lies between Kenya Tanzania and Uganda?",Victoria
Africa,Near which major landmark is the Boiling Pot?,Victoria Falls
Africa,What is the Okavango Swamp famous for?,Wildlife
Africa,The names of which three African countries begin with the letter Z?,"Zambia, Zimbabwe, Zaire"
Asia,Which country's flag is a red circle on a green background?,Bangladesh
Asia,Which country has been officially called Myanmar since 1989?,Burma
Asia,"Which country is bordered by Laos Vietnam and Thailand?",Cambodia
Asia,Which sea lies to the north of Iran?,Caspian
Asia,"Which social system is divided into brahmins ksatriyas vaisyas and sundras?",Caste system
Asia,In which country are the Terracotta Warriors found?,China
Asia,What are the majority of the islands of Micronesia composed of?,Coral
Asia,What was the name of Bangladesh between 1947 and 1972?,East Pakistan
Asia,What are the Seychelles' three official languages?,"English, French and Creole"
Asia,Which country is made up of over 800 islands including Viti Levu?,Fiji
Asia,Which desert covers part of China and Mongolia?,Gobi
Asia,Which country's official name in Hindi is Bharat?,India
Asia,In which two countries is the Thar desert?,India and Pakistan
Asia,To which country does East Timor belong?,Indonesia
Asia,What title does the head of state of Nepal have?,King
Asia,In which country are the Cameron Highlands?,Malaysia
Asia,Which country's capital is Ulan Bator?,Mongolia's
Asia,What is Japan's highest mountain?,Mount Fujiyama
Asia,When 'The Sound of Music' was shown in Korea what was missing?,Music
Asia,Where were Gurkhas originally from?,Nepal
Asia,How many rivers does Tonga have?,None
Asia,Which neighbouring countries' currency is the won?,North and South Korea
Asia,How many vowels are there in Kyrgyzstan?,One
Asia,"Which 7000-island country lies in the Pacific northeast of the South China Sea?",Philippines
Asia,What did Ho Chi Minh City used to be called?,Saigon
Asia,Which area of Russia has had the lowest temperatures in the world recorded there?,Siberia
Asia,What is the capital of Singapore?,Singapore
Asia,Which Pacific islands share their name with a wise man in the Bible?,Solomon Islands
Asia,What are China's famous 'warriors' made from?,Terracotta
Asia,Which country has designated Chachoengsao as its new capital?,Thailand
Australia,Which Australian city hosted its final Formula 1 race in 1995?,Adelaide
Australia,Which is the nearest major town to the southwest of Ayers Rock?,Alice Springs
Australia,Which sacred rock is the world's largest monolith?,Ayers Rock
Australia,What is the name of the surfing beach on the outskirts of Sydney?,Bondi Beach
Australia,At which famous east coast bay did James Cook arrive in April 1770?,Botany Bay
Australia,Which meandering river is Brisbane built around?,Brisbane river
Australia,What is Queensland's most northerly city?,Cairns
Australia,What is the capital of Australia?,Canberra
Australia,Where does the rainforest meet the sea in northern Queensland?,Cape Tribulation
Australia,Which cape is at the northernmost tip of Australia in Queensland?,Cape York
